variable,name,group,formula,units,frequency,availability,rationale,status,missing_treatment,economic_sign,transformation
real_yield,Real Yield,market,"FRED DFII10 last available daily quote /100, delayed one US session",yield fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Real discount-rate environment; retrieved vintage is reconstructed historical data.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
real_yield_change,Real Yield Change,market,Real yield at origin minus preceding monthly value,yield-fraction change,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Change in the real discount-rate environment.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
eurusd_return,Eurusd Return,market,EURUSD=X (USD per EUR): percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
dollar_return,Dollar Return,market,DX-Y.NYB dollar index: percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
revenue_growth,Revenue Growth,financial,Latest quarterly revenue / corresponding prior-year quarter revenue - 1,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
eps_growth,Eps Growth,financial,Quarterly diluted EPS / positive prior-year quarterly EPS - 1; positive current EPS required,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
eps_change_price,Eps Change Price,financial,(Latest quarterly diluted EPS - prior-year quarterly EPS) / origin close; retains losses and zero crossings that percentage growth cannot express,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
loss_transition,Loss Transition,financial,"1 when the current or prior-year comparable quarterly EPS is not positive, else 0",ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ebitda_growth,Ebitda Growth,financial,TTM operating EBITDA / its as-known value 12 calendar months earlier - 1; positive prior base required,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Profit growth after adding compatible D&A; acquisition/accounting changes may dominate.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
gross_margin,Gross Margin,financial,TTM gross profit / TTM revenue,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Gross profitability; metal-price pass-through affects comparability.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
operating_margin,Operating Margin,financial,TTM operating income / TTM revenue,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Operating profitability; exceptional charges remain in GAAP values.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
net_margin,Net Margin,financial,TTM earnings attributed to common / TTM revenue,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,After-tax shareholder profitability; taxes and financing also matter.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
ebitda_margin,Ebitda Margin,financial,TTM (operating income + compatible D&A) / TTM revenue,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,"Cash-earnings proxy, not CFO and not company-adjusted EBITDA.",implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
roa,Roa,financial,TTM net income / average beginning/end assets,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
roe,Roe,financial,TTM common income / average beginning/end parent equity,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
cfo_assets,Cfo Assets,financial,TTM operating cash flow / latest total assets,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,"Operating cash generation; denominator is end-period assets, not average assets.",implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
fcf_equipment_assets,Fcf Equipment Assets,financial,(TTM CFO - equipment capex) / total assets at that flow period end,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
capex_assets,Capex Assets,financial,TTM total investment capex / latest total assets,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Reinvestment intensity can support growth while reducing current cash.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
cash_assets,Cash Assets,financial,Latest cash and cash equivalents / latest total assets,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Liquidity buffer and potential balance-sheet flexibility.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
debt_assets,Debt Assets,financial,Reported interest-bearing debt / latest total assets,fraction,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Balance-sheet leverage; financing claims have issuer-specific tag limitations.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
debt_equity,Debt Equity,financial,Reported interest-bearing debt / positive parent book equity,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Debt relative to book capital; invalid for nonpositive equity.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
interest_coverage,Interest Coverage,financial,TTM operating income / positive reported interest expense,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
current_ratio,Current Ratio,financial,Current assets / current liabilities,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
quick_ratio,Quick-ratio proxy: current assets less inventories,financial,(current assets - inventories) / current liabilities; excludes inventories but includes other current noncash assets,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
payout,Payout,financial,Trailing common dividend cash outflow / positive common income,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
earnings_age_days,Earnings Age Days,financial,Origin date minus the period end of the trailing common-earnings measure,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
earnings_yield,Earnings Yield,valuation,TTM common earnings / (latest filed actual shares × origin close),ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
book_yield,Book Yield,valuation,Parent equity / common market cap,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
sales_yield,Sales Yield,valuation,TTM revenue / common market cap,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
fcf_equipment_yield,Fcf Equipment Yield,valuation,(TTM CFO - equipment capex) / common market cap; the modelled free-cash-flow yield,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
dividend_yield,Dividend Yield,valuation,Trailing reported common dividend cash outflow / current market cap,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
earnings_yield_relative,Earnings Yield Relative,valuation,"Origin value minus preceding 60-month median, at least 36 prior observations; except industry-relative return = industry minus market",ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
earnings_yield_percentile,Earnings Yield Percentile,valuation,Share of the preceding 60 monthly earnings yields below the current one; at least 36 prior observations; current value excluded from the reference window,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
fcf_equipment_yield_relative,Fcf Equipment Yield Relative,valuation,"Origin value minus preceding 60-month median, at least 36 prior observations; except industry-relative return = industry minus market",ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
pe_percentile,Pe Percentile,valuation,Share of the preceding 60 monthly P/E observations below the current one; at least 36 prior observations,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
peer_earnings_yield_gap,Peer Earnings Yield Gap,valuation,Own earnings yield minus median of the other three established issuers; heterogeneous-reference sensitivity,ratio,quarterly filings sampled monthly,next US session after date-only filing; market data by origin,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
momentum_1,Momentum 1,momentum,Compounded adjusted-close return over preceding 1 months,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
momentum_3,Momentum 3,momentum,Compounded adjusted-close return over preceding 3 months,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
momentum_6,Momentum 6,momentum,Compounded adjusted-close return over preceding 6 months,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
momentum_12,Momentum 12,momentum,Compounded adjusted-close return over preceding 12 months,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
relative_momentum,Relative Momentum,momentum,Own trailing three-month compounded return minus SPY equivalent,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Past company performance relative to the broad market.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
industry_momentum_relative,Industry Momentum Relative,momentum,Own trailing three-month compounded return minus industry-reference equivalent,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Past company performance relative to its designated industry reference.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
vol_21,Vol 21,risk,Sample daily-return standard deviation over preceding 21 sessions,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
vol_63,Vol 63,risk,Sample daily-return standard deviation over preceding 63 sessions,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
vol_252,Vol 252,risk,Sample daily-return standard deviation over preceding 252 sessions,ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
beta_252,Beta 252,risk,"Prior 252-session sample covariance(stock,SPY) / variance(SPY)",dimensionless,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Historical market sensitivity measured entirely before the target.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
idio_vol,Idio Vol,risk,"sqrt(max(stock daily variance - beta_252^2 × SPY variance,0)) over prior 252 sessions",daily return fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Residual SD of the trailing market regression with an intercept.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
downside_deviation,Downside Deviation,risk,"sqrt(mean(min(daily return,0)^2)) over past 63 sessions; downside deviation, not central variance",ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
drawdown_252,Drawdown 252,risk,Most negative wealth/running-peak - 1 within preceding 252 sessions,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Prior peak-to-trough loss; window restarts its own wealth baseline.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
log_dollar_volume,Log Dollar Volume,risk,Natural log of mean(close × reported shares traded) over prior 21 sessions,log USD/day,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Trading-activity proxy; no historical bid–ask quotes are inferred.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
turnover,Turnover,risk,Prior 21-session mean shares traded / latest filed actual shares outstanding,fraction/day,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Trading activity relative to share count; outstanding shares can be stale.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
amihud,Amihud,risk,"Mean over prior 21 sessions of abs(daily return)/(close × volume), multiplied by 1e6",ratio,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Tests incremental conditional information; no causal sign imposed.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
industry_vol,Industry Vol,industry,Daily-return sample SD of the issuer industry reference during origin month,daily return fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Industry risk state; semiconductor or aerospace/defense reference.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
sector_return,Sector Return,industry,XLB adjusted-close monthly return,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Materials-sector reference; not asserted to be every issuer’s formal classification.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
semis_return,Semis Return,industry,SOXX adjusted-close monthly return,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,"Semiconductor-equity co-movement proxy, not physical chip-production growth.",implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
defense_return,Defense Return,industry,ITA adjusted-close monthly return,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,"Aerospace/defense-equity proxy, not government spending or aircraft orders.",implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
driver_vol,Driver Vol,business,"Prior 21-session SD of delayed copper-futures returns for MTRN, gas-futures returns otherwise",daily price-change fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Mapped input-price uncertainty; exploratory cost/pass-through proxy.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
copper_return,Copper Return,business,HG=F copper futures: percentage change between month-end closes after a one-US-session delay,fraction,daily market observations aggregated at monthly forecast origins,Origin close; commodity/FX/macro observations delayed one US session,Known commodity/input-price or currency movement; futures vendor construction/roll effects are retained.,implemented,"Training coverage >=70%, median imputation with missing indicators; training-only 1st/99th percentile clipping and scaling. All-null/constant features excluded.","Not constrained; demand, pass-through, expectations and financing can offset each other.",level or specified growth/rolling measure
