id,revision_section,finding,verified,severity,decision,resolution,artifact,validation_check,remaining_limitation
I15,2,Clark-West for fixed nested linear models,Not computed,medium,accepted,"Four fixed nested OLS pairs, Newey-West, one-sided; never applied to tuned models",clark_west.csv,Clark-West limited to fixed nested OLS pairs,"Tests population content, not sample accuracy"
I16,3,Compact model as the interpretable reference,Report leaned on broad-catalogue ablations,low,accepted,Compact model and its definitions lead the variable section; broad set labelled a sensitivity,final report,Registry covers every compact-model input,None
I17,3,"Compact financial extension (fcf_equipment_assets, debt_assets)",Post-hoc proposal,low,accepted as exploratory,"Evaluated as one predefined group, outside every family",model_scores.csv; clark_west.csv,Clark-West limited to fixed nested OLS pairs,"Equipment-capex cash flow, not reconciled free cash flow"
I18,3,Per-specification records,Only selected features and some coefficients were stored,medium,accepted,"Candidates, retained, missing indicators, exclusion reasons, rank, condition number, effective df, intercept-only status per fit",specification_records.csv; exclusion_log.csv; specification_summary.csv,Every fitted specification has a complexity record,"Tree complexity recorded as leaves, not degrees of freedom"
I19,3,Shrinkage grid constrains selection; no intercept-only choice,Confirmed: the grid maximum was chosen in 156/176 broad-Ridge and 176/176 variance-Ridge fits,high,accepted,Per-observation lambda grid 1e-4..100 plus intercept-only for every tuned procedure,specification_summary.csv; baseline_vs_revision.csv,Tuning grid includes the intercept-only benchmark,None
I20,3,"Redundant levels, lags and differences in unpenalised models",Already satisfied,low,already satisfied,Unchanged; check added,validation_results.json,No unpenalised specification mixes a level with its lag or difference,Identical-column removal does not guarantee economic non-redundancy
I21,3,"Distinguish exclusion, identical forecasts, zero and unstable coefficients",Report did not separate them,medium,accepted,"Status taxonomy, intercept-only shares, selection frequencies and sign changes",inference_families.csv; coefficient_stability.csv,Frozen family holds four contrasts for each eligible issuer,None
I22,4,Driver strength; traded proxies vs physical indicators; present-day mapping,Natural gas was presented like a primary driver,medium,accepted,"Exposure map records evidence strength, proxy type and mapping basis; natural gas labelled exploratory",exposure_map.csv,Exposure map records evidence strength,No physical demand series tested
I23,4,Accounting sensitivities,Mine-inclusive FCF and claims proxies existed; ENTG equity substitution had no sensitivity,medium,accepted,Matched exclusion of equity-derived inputs for ENTG; existing sensitivities reported together,model_scores.csv; paired_loss_comparisons.csv,ENTG equity-substitution sensitivity scored on matched dates,NCI materiality after 2019 is unobserved
I24,4,Additional data collection,Optional in the revision document,low,deferred,Not collected; unavailable inputs remain listed as deferrals,deferrals.json,None,"Analyst estimates, metal prices and physical demand remain untested"
I25,5,Inner validation did not mirror monthly refitting,Confirmed: one fit per 12-month block,medium,accepted,Refit at each of 24 inner origins on labels matured by that origin; ARMA order selection too,tuning_history.csv,Every inner-validation label had matured,None
I26,5,December origin versus January target,Wording conflated them,low,accepted,Stated explicitly,final report; config.json,Report distinguishes forecast origins from target months,None
I27,5,Rolling window reused the expanding model's penalty,Confirmed,medium,accepted,Rolling 84-month model tuned inside its own window,tuning_history.csv,Rolling sensitivity is tuned on its own 84-month window,None
I28,5,Ridge penalty normalisation for pooled vs individual fits,"Partly valid: penalties were tuned separately, so the convention alone was not unfair; the binding grid was",low,partially accepted,Per-observation lambda (alpha = lambda x n) so penalties are comparable; conventions documented,config.json; metric_registry.csv,Tuning grid includes the intercept-only benchmark,Company intercepts in pooled models are penalised
I29,5,Synchronised pooled folds; no concatenated ARIMA,Already satisfied,low,already satisfied,Unchanged; check added,validation_results.json,Pooled models are fitted on date-synchronised folds,None
I30,5,Label comparisons with different training histories,Not labelled,low,accepted,comparison_type column: isolating vs complete procedure,paired_loss_comparisons.csv,Every paired comparison is labelled isolating or complete procedure,None
I31,5,Controlled individual/pooled x persistence/external variance matrix,Confirmed gap: no pooled persistence-only or pooled external model,high,accepted,Two pooled models reuse the individual column lists exactly,inference_families.csv,Variance family covers the controlled 2x2 matrix,Company intercepts penalised in pooled fits
I32,5,GARCH-X restrictions; variance vs volatility units,Partly documented,low,accepted,Documented in the report; root-variance metrics renamed,final report; metric_registry.csv,Metric registry states the inference estimand,None
I33,6,Influence diagnostics,Only calendar-year scores existed,high,accepted,"Leave one target month and one calendar year out, forecasts held fixed",influence_diagnostics.csv,Influence diagnostics cover every family contrast,Loss-only; not a refit robustness test
I34,6,MTRN August 2024 and ENTG April 2025,Confirmed influential: April 2025 alone carried ENTG's pooled-variance gain in version 3,high,accepted,Named rows in the influence table and in the report,influence_diagnostics.csv,Influence diagnostics cover every family contrast,None
I35,7.2,Missing definitions of industry_relative and driver_return,Confirmed,medium,accepted,"Registered with formulas, units and mappings",feature_registry.csv,Registry covers every compact-model input,None
I36,7.3,Blank leave-one-block-out losses,Confirmed: lookup in the wrong direction; momentum and risk pairs absent,high,accepted,Direction-safe lookup reverses the mean and swaps interval endpoints; missing pairs added,ablation_scores.csv,Leave-one-block-out rows are populated,None
I37,7.4,MTRN-ATI exception omitted,Confirmed: its interval includes zero but the prose named only Carpenter and ATI,medium,accepted,Interval claims generated from the contrast table,final report,Correlation prose matches the contrast table,None
I38,7.5,Descriptive coverage presented as training eligibility,Confirmed,medium,accepted,Separate descriptive and training-window eligibility shares,coverage_and_deferrals.csv,Coverage separates description from training eligibility,None
I39,7.6,Forecast and correlation regimes conflated,"Confirmed: different windows, thresholds and frequencies",medium,accepted,"Definitions table with windows, thresholds and timing",regime_definitions.csv,Regime definitions recorded,None
I40,7.7,"Successful-fit comparisons per model, not per pair",Confirmed (no numeric effect: no fallbacks occurred),low,accepted,Pairwise successful-fit intersection beside the operational score,paired_loss_comparisons.csv,Successful-fit comparisons use each pair's intersection,None
I41,7,Unsupported assertions,Confirmed 5 of 5: underpowered against any plausible effect; the variance task shows the pipeline can detect a signal; pooling helps because dynamics are similar; the absence of improvement is a stable finding; a retained derived variable necessarily shrinks the measured gap,high,accepted,"Removed or qualified in the report, README and specification addendum; detectable effects stated under explicit assumptions",final report; README.md; SPECIFICATION.md; detectable_effects.csv,Report contains none of the flagged assertions,None
I42,8,Investment framing,Evidence levels were not separated,medium,accepted,Association / predictive usefulness / statistical evidence / investment relevance for every experiment,final report,Report contains none of the flagged assertions,No portfolio or execution experiment
I43,5 / 8,"""Excess return"" label for stock minus SPY",Misleading name,low,accepted,"Renamed market-relative return; not alpha, not risk-adjusted",forecasts.csv,Market-relative task named consistently,None
I46,7 (found during revision),Market-relative table rendered with variance columns,"Confirmed: the table builder treated every non-return task as variance, so the excess-return table showed blank QLIKE columns instead of RMSE and direction",medium,accepted,Signed-target branch covers the market-relative task,final report,Market-relative task named consistently,None
I44,1,Prompt said it is stored under Materion/experiments/review,Incorrect: it is MTRN/experiments/prompt__revision.md,low,rejected,No action,n/a,None,None
I45,9,"Wider panel, analyst archives, intraday variance, clustering",Follow-up research by the document's own terms,low,deferred,Recorded as follow-up,final report,None,Unresolved research questions
