number,name,rows,columns,caption
11,Declared family: valuation added,5,"['Company', 'Status', 'Identical forecasts (share)', 'Months', 'Mean MSE reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Holm-adjusted p']","Holm adjustment is applied across the tested contrasts of family R16, not within this row group; the joint row belongs to RJ4. The unadjusted p-value and interval come from one bootstrap and always agree; both are descriptive under the calibration results."
12,Accounting-proxy sensitivities on matched dates,5,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']","Matched inclusion or exclusion of the three material accounting proxies, each against the unchanged Broad Ridge. Mine-inclusive free cash flow exists only for MTRN; the equity exclusion removes roe, its change, book yield and debt/equity for ENTG, whose consolidated-equity substitution rests on pre-2020 materiality evidence; the EV/ROIC proxies lack preferred, pension, lease and other claims. These are statements about accounting representations, not about the underlying business economics."
13,E3 paired comparisons,20,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']",Each row changes one representation and holds everything else fixed. Missing rows indicate a representation whose inputs failed the coverage gate for that issuer rather than an economic equivalence.
14,Both cumulative ladders,68,"['Ladder', 'Stage', 'Company', 'Months', 'Columns', 'Intercept-only refits', 'RMSE (pp)', 'OOS R²', 'Step MSE reduction (pp²)', 'Lower 95%', 'Upper 95%']","The protocol ladder adds financials first; the market-first ladder answers the separately required check of market and industry controls before company information. A block that looks useful in one ordering and not the other is sharing information, not proving its own value."
15,Leave-one-block-out,32,"['Model', 'Company', 'Months', 'Intercept-only refits', 'RMSE (pp)', 'OOS R²', 'MSE reduction vs full model (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p']","Positive means the model without the block forecast better than the full model. Stored comparisons are read in whichever direction they were computed, with the mean negated and the interval endpoints swapped when reversed. The full-model row has no comparison."
16,E5 paired comparisons,16,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']",The first row is the frozen family member. Lag-length sensitivity is the second row; agreement between them is the evidence that matters.
17,E6 paired comparisons,8,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction (pp²)', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']",The first row is the frozen family member and the only one that isolates error dynamics. The second mixes the dynamics with the value of the predictors themselves.
18,Selected ARMA order by origin,11,"['Company', 'Selected order (p,q)', 'Origins']","The order is chosen inside training data and changes over time, so this family is labelled ""order selected in training"" rather than given a fixed order in any figure legend."
19,Regime definitions,3,"['Regime', 'Frequency', 'Used for', 'Definition', 'Timing', 'States']","The monthly forecast regimes and the daily correlation regime use different windows, thresholds and frequencies; they are not the same classification and must not be read across."
20,One- and three-month forecasts on common origins,40,"['Company', 'Model', 'Horizon (months)', 'Origin labels', 'Target', 'Origins', 'RMSE (pp)', 'OOS R²']","Both horizons are scored on the same 38 origins, so the comparison is not confounded by different sample periods. The targets differ, and each horizon has its own matured historical-mean benchmark."
21,Three-month horizon,20,"['Company', 'Model', 'Months', 'RMSE (pp)', 'MAE (pp)', 'OOS R²', 'Direction (%)', 'Forecast corr.']","Each horizon uses its own matured historical-mean benchmark, so R² is comparable within a horizon and not across horizons."
22,"Three-month, nonoverlapping calendar offsets",36,"['Company', 'Model', 'Offset', 'Outcomes', 'RMSE (pp)', 'OOS R²']","All three offsets are reported rather than the most favourable one. Each holds only 12 to 13 independent outcomes, which is why these are descriptive."
23,Calendar-year performance,64,"['Company', 'Model', 'Year', 'Months', 'RMSE (pp)', 'OOS R²']",2026 is a partial year ending with the August target. Year-by-year splits of a 44-month sample are descriptive.
24,Market-relative target: stock minus SPY over the same month,20,"['Company', 'Model', 'Months', 'RMSE (pp)', 'MAE (pp)', 'OOS R²', 'Direction (%)', 'Forecast corr.']","A market-relative return, not alpha and not a risk-adjusted return. The realised SPY return belongs to this outcome, never to the predictors. Scored against the expanding mean of the same quantity."
25,The two months the review named: MTRN August 2024 and ENTG April 2025,16,"['Task', 'Company', 'Month removed', 'Model', 'Benchmark', 'Mean loss reduction, all months', 'Without that month', 'p, all months', 'p, without', 'Sign reverses', 'Decision changes']",Loss-only: the month is removed from the evaluation while forecasts and fitted models stay fixed. An influential month is not an error and is kept in every headline result.
26,Leave-one-calendar-year-out,48,"['Task', 'Company', 'Model vs benchmark', 'Year removed', 'All years', 'Without that year', 'Unadjusted p, without', 'Sign reverses']","Each target year removed in turn from the evaluation; 2023 and 2026 are partial years. Forecasts are held fixed, so this is not a training-sample robustness test."
27,Variance models,68,"['Company', 'Model', 'Months', 'QLIKE', 'Variance RMSE ×10⁶', 'Variance MAE ×10⁶', 'OOS R²', 'Root-variance RMSE (daily pp)', 'Root-variance corr.']",QLIKE is the ranking score. Variance RMSE and volatility RMSE are shown beside it because a model can win on one and lose on another; disagreement is reported rather than resolved by picking a favourable metric.
28,Best observed variance model per issuer,4,"['Company', 'Lowest-QLIKE model', 'QLIKE', 'Months']",Retrospectively lowest observed score among tested pipelines. This is not a prospectively validated choice and the differences between the leading models are small.
29,E8 paired comparisons,28,"['Comparison', 'Company', 'Months', 'Loss metric', 'Mean loss reduction', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Identical forecasts (share of months)']",Paired QLIKE differences on matched months; positive favours the first-named model.
30,Declared variance families V20 and VJ5: the controlled 2×2 matrix,25,"['Family', 'Company', 'Contrast', 'Status', 'Months', 'Mean QLIKE reduction', 'Lower 95%', 'Upper 95%', 'Unadjusted p', 'Holm-adjusted p', 'Adjusted decision']",Declared before rescoring. Pooling contrasts compare a pooled and an individual fit with identical inputs; external contrasts add the same external block on each side. Under the calibration results these p-values are descriptive.
31,Daily-return correlation in high- versus low-volatility regimes,6,"['Company A', 'Company B', 'High-vol days', 'Low-vol days', 'Correlation difference', 'Lower 95%', 'Upper 95%']","This is the daily correlation regime: SPY 63-session volatility, lagged one session, against its trailing 252-session median. It is not the monthly forecast regime used in E7 (see the regime-definition table). Intervals are synchronised moving-block resamples of the paired daily returns. A positive difference means the pair co-moved more when market volatility was already high, which is when diversification is least useful; this is a descriptive contrast, not a contagion test."
32,One row per experiment,7,"['Experiment', 'Information or structure tested', 'Issuers compared', 'Median MSE reduction (pp²)', 'Issuers with interval above zero', 'Issuers with interval below zero']","Unadjusted pointwise intervals, six-month blocks. The variance row uses QLIKE, not squared error, so its magnitude column is deliberately blank: the two losses are not comparable and combining them into one ranking would be wrong."
33,"Four levels of evidence, kept apart",4,"['Experiments', 'Explanatory association', 'Predictive usefulness', 'Statistical evidence', 'Investment relevance']","Association is not causation, a lower loss is not alpha, and a variance improvement is not a demonstrated portfolio benefit. Each column is a separate claim that needs its own evidence."
34,Issue register,46,"['ID', 'Review section', 'Finding', 'What was verified', 'Severity', 'Decision', 'Resolution', 'Artifact', 'Validation check', 'Remaining limitation']",Each finding was checked against the code and outputs before being accepted or rejected. The validation-check column names the fail-closed check in validation_results.json.
35,"What changed in the frozen return family, and why",16,"['Company', 'Contrast', 'baseline new inference: status', 'baseline new inference: unadjusted p-value', 'baseline published: status', 'baseline published: unadjusted p-value', 'revision: status', 'revision: unadjusted p-value']","Baseline published: version 3 as reported. Baseline new inference: the version-3 forecasts rescored with the version-4 bootstrap, so any movement there is the inference change alone. Revision: version-4 forecasts, whose differences from the middle columns come from refitting (grid, intercept-only choice, monthly inner validation). Neither version finds a contrast that survives Holm."
36,Tuning behaviour before and after the grid repair,6,"['Model', 'v3: share of refits at the grid maximum', 'v4: share choosing intercept-only']",Version 3’s strongest penalty was the closest it could get to the benchmark; version 4 can choose the benchmark exactly.
37,Frozen configuration,39,"['Setting', 'Value']","The complete version-4 configuration, also saved as config.json. Grids, families, order candidates, gates, seeds and block lengths were fixed in REVISION_SPEC.md before rescoring; the one later addition is logged in revision_freeze.json."
38,Deferred and unavailable inputs,9,"['Requested input', 'Why it is not implemented']",Each remains visible as an explicit deferral. None was replaced by a substitute and none was dropped from the report’s scope statement.
